id,Nombre,Grupo de alimento,Marca,Cantidad,Unidad,Calorias,Proteinas,Carbohidratos,Grasas,Fibra,vitA,vitB1,vitB2,vitB3,vitB5,vitB6,vitB9,vitB12,vitC,vitD,vitE,vitK,choline,calcium,copper,iron,magnesium,manganese,phosphorus,potassium,selenium,sodium,zinc,water,cholesterol,saturatedFat,monoUnsaturatedFat,polyUnsaturatedFat,glycemicIndex,tiene_micros,es_duplicado,momento_sugerido,comments,usar_en_generador
,Aceite de linaza,Aceites y grasas,,100,gr,900.0,0.0,0.0,100.0,,,,,,,,,,,,17.5,,200.0,,,,,,,,,,,,,9.4,20.2,66.0,,False,False,,0.0 | Fuente: base original de Alzum.,True
,Aceite de pescado,Aceites y grasas,,100,gr,900.0,0.0,0.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,485.0,19.9,29.0,40.3,,False,False,,0.0 | Fuente: base original de Alzum.,True
,Aceite oliva virgen extra,Aceites y grasas,Hacendado,100,gr,824.0,0.0,0.0,91.6,,,,,,,,,,,,,,,,,,,,,,,,,,,13.7,,6.4,,False,False,,Fuente: base original de Alzum.,True
,Aceite vegetal de algodón,Aceites y grasas,,100,gr,900.0,0.0,0.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,0 | Fuente: base original de Alzum.,True
,Bonito aceite de oliva,Pescados,Albo,100,gr,385.0,22.0,0.0,33.0,,,,,10.0,,,,,,,,,,,,,,,170.0,,,0.7,,,,,,,,True,False,,Fuente: base original de Alzum.,True
,Coconut oil organic,Aceites y grasas,Raw C,100,gr,823.0,0.0,0.0,91.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,Fuente: base original de Alzum.,True
,Manteca vegetal,Aceites y grasas,,100,gr,895.5,0.0,0.0,99.5,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,False,False,,0 | Fuente: base original de Alzum.,True
,Mantequilla ajo y hierbas (Mailand ),Aceites y grasas,,100,gr,710.0,0.0,2.0,79.0,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,False,False,,Fuente: base original de Alzum.,True
,Mantequilla de Oliva ( Olive Grove ),Aceites y grasas,,100,gr,530.0,0.0,0.0,60.0,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,False,False,,Fuente: base original de Alzum.,True
,Mantequilla light,Aceites y grasas,Hacendado,100,gr,372.0,0.2,0.5,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,Fuente: base original de Alzum.,True
,Sardinas Aceite girasol,Pescados,Hacendado,100,gr,333.0,19.2,1.1,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,Fuente: base original de Alzum.,True
,Sardinilla aceite oliva,Pescados,Hacendado,100,gr,213.0,19.0,0.0,15.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,Fuente: base original de Alzum.,True
,Aceite oleico gourmet,Aceites y grasas,,100,gr,828.0,0.0,0.0,92.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,Fuente: base original de Alzum.,True
,Caballa aceite de oliva,Pescados,Albo,100,gr,346.0,19.0,0.0,30.0,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,False,False,,Fuente: base original de Alzum.,True
,Ghee bio & keto,Aceites y grasas,,100,gr,895.5,0.0,0.0,99.8,,,,,,,,,,,,,,,,,,,,,,,,,,,62.5,,,,False,False,,Fuente: base original de Alzum.,True
,Mantequilla de cacahuete (> 90%),Aceites y grasas,,100,gr,632.11,25.1,19.6,50.4,6.0,,73.0,105.0,13.4,1.1,543.0,74.0,,,,9.0,0.6,63.0,43.0,473.0,1.9,154.0,1.5,358.0,649.0,5.6,17.0,2.9,1.8,,10.3,23.7,13.9,9.2,True,False,,40.0 | Fuente: base original de Alzum.,True
,Soja texturizada (proteína vegetal),Alternativas vegetales,,100,gr,320.0,51.0,19.0,0.5,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,0.3,,False,False,Comida / cena,Fuente: base original de Alzum.,True
,Carne de avestruz,Aves,,100,gr,109.08,22.9,0.0,2.0,,,205.0,302.0,4.9,1.2,537.0,8.0,5.2,,,200.0,,,5.0,142.0,2.7,23.0,18.0,221.0,322.0,36.6,90.0,3.9,75.6,65.0,0.6,0.6,0.4,,True,False,Comida / cena,0.0 | Fuente: base original de Alzum.,True
,Contramuslo de pollo con piel,Aves,,100,gr,156.0,18.0,0.0,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,Comida / cena,Fuente: base original de Alzum.,True
,Contramuslo de pollo deshuesado,Aves,,100,gr,129.0,19.0,0.0,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,Comida / cena,Fuente: base original de Alzum.,True
,Corazón de pollo,Aves,,100,gr,152.57,15.6,1.6,9.3,,,,,,,,,,3.2,,,,,12.0,,1.7,,,177.0,,,,6.6,73.6,,,,,,True,False,Comida / cena,0 | Fuente: base original de Alzum.,True
